Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,7.781250,8.562500,7.312500,8.562500,1.938433,46574000
1985-02-01,8.531250,8.875000,8.312500,8.656250,1.959659,34311200
1985-03-01,8.687500,8.968750,8.250000,8.718750,2.009003,25386800
1985-04-01,8.656250,9.343750,8.562500,9.281250,2.138615,33514400
1985-05-01,9.156250,9.281250,8.562500,8.937500,2.059407,34213600
1985-06-01,8.937500,9.343750,8.750000,9.343750,2.188628,30907200
1985-07-01,9.187500,9.750000,8.843750,9.187500,2.152028,35255600
1985-08-01,9.125000,9.468750,8.875000,9.406250,2.203268,27516800
1985-09-01,9.406250,9.437500,8.750000,9.250000,2.202260,27094000
1985-10-01,9.500000,10.187500,9.375000,9.781250,2.328741,45441200
1985-11-01,9.718750,9.968750,9.281250,9.562500,2.276661,33958400
1985-12-01,9.500000,9.656250,8.406250,9.531250,2.305027,49051200
1986-01-01,9.531250,9.593750,8.531250,9.125000,2.206780,47872400
1986-02-01,8.875000,9.562500,8.500000,9.187500,2.221896,53285200
1986-03-01,9.187500,9.625000,8.625000,9.125000,2.243662,56903200
1986-04-01,9.093750,9.906250,9.000000,9.625000,2.366604,59026800
1986-05-01,9.562500,10.375000,9.500000,10.000000,2.458808,60937200
1986-06-01,10.062500,10.250000,9.437500,9.593750,2.395539,36906000
1986-07-01,9.500000,9.812500,8.562500,9.031250,2.255084,51327600
1986-08-01,9.062500,11.250000,8.812500,11.062500,2.762283,72356400
1986-09-01,11.031250,11.781250,10.187500,11.000000,2.792423,65393200
1986-10-01,11.062500,11.437500,10.281250,11.156250,2.832087,57108000
1986-11-01,10.875000,11.937500,10.687500,11.843750,3.006615,53116000
1986-12-01,11.750000,12.031250,11.218750,11.343750,2.918932,64510800
1987-01-01,11.375000,13.250000,11.375000,13.250000,3.409441,87399600
1987-02-01,13.187500,13.812500,11.625000,12.375000,3.184289,67320000
1987-03-01,12.343750,14.843750,12.093750,14.031250,3.650754,72378400
1987-04-01,13.906250,15.375000,13.500000,14.500000,3.772715,75667200
1987-05-01,14.375000,15.343750,13.750000,14.593750,3.797109,51351200
1987-06-01,14.687500,15.562500,14.343750,15.500000,4.075808,51657200
1987-07-01,15.406250,16.156250,14.750000,15.125000,3.977199,50024000
1987-08-01,15.375000,15.687500,14.093750,14.625000,3.845720,73232000
1987-09-01,14.593750,14.718750,12.468750,13.468750,3.576290,73119200
1987-10-01,13.500000,13.968750,8.000000,11.093750,2.945668,79801200
1987-11-01,10.750000,11.125000,9.125000,9.125000,2.422914,47508800
1987-12-01,9.343750,10.125000,8.937500,9.906250,2.666306,66450400
1988-01-01,10.031250,11.218750,9.750000,11.218750,3.019571,41827200
1988-02-01,11.250000,11.781250,10.625000,11.062500,2.977514,48416800
1988-03-01,11.000000,11.906250,10.875000,11.625000,3.172296,44484800
1988-04-01,11.562500,12.718750,11.250000,12.031250,3.283155,54671200
1988-05-01,11.843750,12.375000,11.750000,12.312500,3.359907,38098400
1988-06-01,12.281250,13.000000,11.250000,11.343750,3.138497,58665600
1988-07-01,11.375000,12.125000,11.250000,12.125000,3.354645,37001600
1988-08-01,12.093750,12.218750,10.906250,11.125000,3.077973,35943600
1988-09-01,11.156250,11.437500,10.687500,10.906250,3.058873,41592400
1988-10-01,10.937500,11.906250,10.718750,11.718750,3.286754,40628400
1988-11-01,11.531250,11.625000,10.781250,11.437500,3.207873,37704800
1988-12-01,11.437500,11.843750,11.062500,11.437500,3.252981,39834000
1989-01-01,11.437500,12.593750,11.343750,12.406250,3.528507,58648000
1989-02-01,12.250000,12.531250,11.875000,12.125000,3.497606,36783200
1989-03-01,12.156250,13.750000,12.125000,13.187500,3.804095,65046400
1989-04-01,13.250000,14.312500,13.093750,13.562500,3.912268,50148800
1989-05-01,13.500000,14.125000,12.875000,13.812500,3.984386,46092400
1989-06-01,13.750000,14.000000,12.843750,13.500000,3.945745,51632400
1989-07-01,13.562500,14.187500,13.468750,13.625000,3.982282,37494800
1989-08-01,13.500000,14.156250,13.437500,14.062500,4.110152,52684800
1989-09-01,14.062500,15.250000,14.000000,15.250000,4.515226,46105600
1989-10-01,15.093750,17.343750,14.906250,17.062500,5.051873,164062400
1989-11-01,17.093750,17.281250,15.250000,17.156250,5.133060,117798400
