Regular Gasoline Retail Prices,,
https://www.eia.gov/outlooks/steo/realprices/,,
00:35:43 GMT+0200 (Central European Summer Time),,
Source: U.S. Energy Information Administration,,
Month,Real Values,Nominal Values
Dec 2007,4.14,3.02
Nov 2007,4.24,3.08
Oct 2007,3.89,2.8
Sep 2007,3.9,2.8
Aug 2007,3.89,2.79
Jul 2007,4.14,2.96
Jun 2007,4.28,3.06
May 2007,4.42,3.15
Apr 2007,4.01,2.85
Mar 2007,3.62,2.56
Feb 2007,3.24,2.28
Jan 2007,3.2,2.24
Dec 2006,3.31,2.31
Nov 2006,3.2,2.23
Oct 2006,3.23,2.24
Sep 2006,3.66,2.56
Aug 2006,4.2,2.95
Jul 2006,4.26,2.98
Jun 2006,4.15,2.88
May 2006,4.19,2.91
Apr 2006,3.97,2.74
Mar 2006,3.52,2.42
Feb 2006,3.32,2.28
Jan 2006,3.37,2.32
Dec 2005,3.2,2.19
Nov 2005,3.31,2.26
Oct 2005,3.96,2.72
Sep 2005,4.24,2.9
Aug 2005,3.68,2.49
Jul 2005,3.41,2.29
Jun 2005,3.23,2.16
May 2005,3.24,2.16
Apr 2005,3.36,2.24
Mar 2005,3.13,2.08
Feb 2005,2.88,1.91
Jan 2005,2.77,1.83
Dec 2004,2.79,1.84
Nov 2004,3,1.98
Oct 2004,3.04,2
Sep 2004,2.86,1.87
Aug 2004,2.88,1.88
Jul 2004,2.93,1.91
Jun 2004,3.03,1.97
May 2004,3.06,1.98
Apr 2004,2.78,1.8
Mar 2004,2.69,1.74
Feb 2004,2.56,1.65
Jan 2004,2.45,1.57
Dec 2003,2.31,1.48
Nov 2003,2.37,1.51
Oct 2003,2.45,1.56
Sep 2003,2.63,1.68
Aug 2003,2.55,1.62
Jul 2003,2.39,1.51
Jun 2003,2.37,1.49
May 2003,2.38,1.5
Apr 2003,2.52,1.59
Mar 2003,2.67,1.69
Feb 2003,2.55,1.61
Jan 2003,2.32,1.46
Dec 2002,2.21,1.39
Nov 2002,2.27,1.42
Oct 2002,2.31,1.45
Sep 2002,2.25,1.4
Aug 2002,2.24,1.4
Jul 2002,2.25,1.4
Jun 2002,2.23,1.38
May 2002,2.25,1.39
Apr 2002,2.26,1.4
Mar 2002,2.03,1.25
Feb 2002,1.82,1.11
Jan 2002,1.81,1.11
Dec 2001,1.78,1.09
Nov 2001,1.91,1.17
Oct 2001,2.15,1.32
Sep 2001,2.48,1.52
Aug 2001,2.32,1.42
Jul 2001,2.32,1.42
Jun 2001,2.64,1.62
May 2001,2.79,1.7
Apr 2001,2.55,1.55
Mar 2001,2.32,1.41
Feb 2001,2.39,1.45
Jan 2001,2.39,1.45
Dec 2000,2.4,1.44
Nov 2000,2.53,1.52
Oct 2000,2.56,1.53
Sep 2000,2.59,1.55
Aug 2000,2.46,1.46
Jul 2000,2.61,1.55
Jun 2000,2.75,1.63
May 2000,2.52,1.49
Apr 2000,2.49,1.46
Mar 2000,2.57,1.52
Feb 2000,2.35,1.38
Jan 2000,2.21,1.29
Dec 1999,2.19,1.27
Nov 1999,2.16,1.25
Oct 1999,2.15,1.24
Sep 1999,2.17,1.26
Aug 1999,2.12,1.22
Jul 1999,2.02,1.16
Jun 1999,1.95,1.11
May 1999,1.98,1.13
Apr 1999,1.98,1.13
Mar 1999,1.73,0.98
Feb 1999,1.62,0.92
Jan 1999,1.65,0.94
